  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0012 AIRFOILS                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   4.250   0.5268   0.01259   0.00492  -0.0079   0.2698   0.9928
   4.500   0.5624   0.01296   0.00516  -0.0099   0.2359   0.9973
   4.750   0.5921   0.01332   0.00540  -0.0106   0.2067   1.0000
   5.000   0.6130   0.01367   0.00564  -0.0095   0.1832   1.0000
   5.250   0.6339   0.01402   0.00591  -0.0083   0.1620   1.0000
   5.500   0.6546   0.01441   0.00621  -0.0072   0.1430   1.0000
   5.750   0.6751   0.01481   0.00653  -0.0059   0.1269   1.0000
   6.000   0.6956   0.01522   0.00689  -0.0047   0.1128   1.0000
   6.250   0.7162   0.01563   0.00727  -0.0035   0.1010   1.0000
   6.500   0.7367   0.01605   0.00767  -0.0022   0.0911   1.0000
   6.750   0.7570   0.01651   0.00811  -0.0009   0.0829   1.0000
   7.000   0.7769   0.01701   0.00859   0.0004   0.0756   1.0000
   7.250   0.7974   0.01747   0.00908   0.0017   0.0696   1.0000
   7.500   0.8167   0.01805   0.00961   0.0030   0.0645   1.0000
   7.750   0.8372   0.01853   0.01017   0.0043   0.0600   1.0000
   8.000   0.8567   0.01913   0.01076   0.0056   0.0560   1.0000
   8.250   0.8765   0.01972   0.01140   0.0068   0.0528   1.0000
   8.500   0.8964   0.02031   0.01204   0.0080   0.0496   1.0000
   8.750   0.9147   0.02106   0.01277   0.0094   0.0470   1.0000
   9.000   0.9345   0.02170   0.01352   0.0106   0.0445   1.0000
   9.250   0.9535   0.02239   0.01427   0.0118   0.0424   1.0000
   9.500   0.9711   0.02320   0.01509   0.0131   0.0405   1.0000
   9.750   0.9891   0.02401   0.01600   0.0144   0.0387   1.0000
  10.000   1.0069   0.02481   0.01688   0.0157   0.0370   1.0000
  10.250   1.0238   0.02565   0.01778   0.0170   0.0355   1.0000
  10.500   1.0388   0.02662   0.01878   0.0184   0.0344   1.0000
  10.750   1.0535   0.02767   0.01994   0.0200   0.0333   1.0000
  11.000   1.0680   0.02869   0.02109   0.0215   0.0321   1.0000
  11.250   1.0812   0.02971   0.02222   0.0230   0.0309   1.0000
  11.500   1.0916   0.03073   0.02330   0.0249   0.0300   1.0000
  11.750   1.1001   0.03188   0.02450   0.0269   0.0293   1.0000
  12.000   1.1072   0.03329   0.02599   0.0287   0.0287   1.0000
  12.250   1.1144   0.03481   0.02770   0.0304   0.0280   1.0000
  12.500   1.1201   0.03648   0.02954   0.0318   0.0273   1.0000
  12.750   1.1248   0.03828   0.03149   0.0330   0.0267   1.0000
  13.000   1.1284   0.04022   0.03357   0.0339   0.0261   1.0000
  13.250   1.1311   0.04231   0.03578   0.0344   0.0256   1.0000
